period,time,speedup
0.05,973.4,6.6592562153277175
0.1,255.34,11.156183911647215
0.15,140.34,14.207781103035485
0.2,104.92,11.378955394586352
0.25,87.3,9.451546391752577
0.3,82.24,6.818822957198444
0.35,79.78,4.872900476309852
0.4,79.32,3.263237518910741
0.45,78.32,2.09320735444331
0.5,78.22,1.259268729225262
0.55,78.4,0.5038265306122449
0.6,77.9,0.24749679075738126
0.65,77.96,0.2003591585428425
0.7,78.04,0.17734495130702202
0.75,78.14,0.15638597389301254
0.8,79.14,0.13924690422036895
0.85,79.96,0.12756378189094547
0.9,79.92,0.11786786786786786
0.95,79.58,0.11108318673033425
1.0,79.82,0.10423452768729644
